id,word,phonetic,meaning,category,wrong_answer,error_note,tip,unit,status,mastered_modes,confused_with,correct_count,created_at,last_practiced_at,batch_id
,couplet,ˈkʌplɪt,n*.对联,unlearned,couple,漏字母t,couple+t=couplet（对联）,,pending,,,0,,,
,christmas,ˈkrɪsməs,n*.圣诞节,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,confucius,kənˈfjuːʃəs,孔子,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,another,əˈnʌðə(r),"det*.,*pron*.又一",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,celebration,ˌselɪˈbreɪʃn,n*.庆祝活动；庆祝,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,delicious,dɪˈlɪʃəs,adj*.美味的，可口的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,excited,ɪkˈsaɪtɪd,adj*.激动的;兴奋的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,author,ˈɔːθə(r),n*.著者;作者;作家,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,thirteenth,ˌθɜːˈtiːnθ,ordinal* *num*.第十二,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,hundred,ˈhʌndrəd,num*.一百,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,second,ˈsekənd,"ordinal* *num*.,*det*.第二 *n*.秒",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,twelfth,twelfθ,ordinal* *num*.第十— .,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,twentieth,ˈtwentiəθ,ordinal* *num*.第二十,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,forty,ˈfɔːti,num*. 四十,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,fortieth,ˈfɔːtiəθ,ordinal* *num*.第四十,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,fifty,ˈfɪfti,num*.五十,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,ninety,ˈnaɪnti,num*.九十,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,football,ˈfʊtbɔːl,n*.足球运动；足球,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,square,skweə(r),n*.广场;正方形 *adj*.正方形的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,street,striːt,n*.街道,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,prepare,prɪˈpeə(r),v*.使做好准备;做,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,riddle,ˈrɪd(ə)l,n*.谜；谜语,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,poster,ˈpəʊstə(r),n*.海报；招贴画,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,february,ˈfebruəri,n*.二月,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,march,mɑːtʃ,n*.二月,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,republic,rɪˈpʌblɪk,n*.共和国,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,calendar,ˈkælɪndə(r),n*. 日历,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,december,dɪˈsembə(r),n*.十二月,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,midnight,ˈmɪdnaɪt,n*.午夜,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,bell,bel,n*.钟,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,ring,rɪŋ,v*.(使)发出钟声 *n*.钟声;指环,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,say,seɪ,v*.说;指示,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,director,/dəˈrektə(r); daɪˈrektə(r)/,n. 导演,unlearned,directer,拼写错误,director = direct + or,,pending,,,0,,,
,pilot,/ˈpaɪlət/,n. 飞行员,unlearned,pliot,拼写错误,pilot = pi + lot,,pending,,,0,,,
,scientist,/ˈsaɪəntɪst/,n. 科学家；科研人员,unlearned,sciencetist,拼写错误,scientist = scien + tist,,pending,,,0,,,
,actor,/ˈæktə(r)/,n. 演员,unlearned,act,漏字母,actor末尾有-or,,pending,,,0,,,
,direction,/dəˈrekʃn; daɪˈrekʃn/,n. 指导；方向,unlearned,未填,拼写错误,direction正确拼写,,pending,,,0,,,
,believe,/bɪˈliːv/,v. 相信；把 (某事) 当真,unlearned,belive,漏字母,believe中间有-ie-,,pending,,,0,,,
,thanks,/θæŋks/,excl. 谢谢，多谢；n. 感谢；谢意,unlearned,thank,漏字母,thanks末尾有-s,,pending,,,0,,,
,reporter,/rɪˈpɔːtə(r)/;/rɪˈpɔːrtər/,n. 记者,unlearned,report,漏字母,reporter末尾有-er,,pending,,,0,,,
,patient,/ˈpeɪʃnt/,n. 病人；adj. 有耐心的,unlearned,painent,拼写错误,patient = pa + tient,,pending,,,0,,,
,railway,/ˈreɪlweɪ/,n. 铁路；铁道,unlearned,railway,拼写错误,railway正确拼写,,pending,,,0,,,
,modern,/ˈmɒdn/;/ˈmɑːdərn/,adj. 现代的；当代的；近代的,unlearned,moden,漏字母,modern末尾有-rn,,pending,,,0,,,
,alarm,/əˈlɑːm/;/əˈlɑːrm/,n. 警报；闹铃,unlearned,未填,拼写错误,alarm正确拼写,,pending,,,0,,,
,receive,/rɪˈsiːv/,v. 受到，收到,unlearned,未填,拼写错误,receive正确拼写,,pending,,,0,,,
